# Source: https://raw.githubusercontent.com/WUST-FOG/gnlse-python/main/data/neff_pcf.mat
# Extracted once from MATLAB variable neff using dat[:,0] (wavelength) and dat[:,1] (effective index).
# wavelength converted from meters to nanometers.
wavelength_nm,effective_index
400.000000,1.462392945326440
410.000000,1.460967033608690
420.000000,1.459610502300540
430.000000,1.458315580650910
440.000000,1.457075472174820
450.000000,1.455884210578050
460.000000,1.454736540239950
470.000000,1.453627816531540
480.000000,1.452553922253490
490.000000,1.451511197251410
500.000000,1.450496378862230
510.000000,1.449506551309260
520.000000,1.448539102527290
530.000000,1.447591687185190
540.000000,1.446662194900980
550.000000,1.445748722825340
560.000000,1.444849551915010
570.000000,1.443963126334830
580.000000,1.443088035522040
590.000000,1.442222998523790
600.000000,1.441366850282220
610.000000,1.440518529593150
620.000000,1.439677068507600
630.000000,1.438841582980540
640.000000,1.438011264600870
650.000000,1.437185373261380
660.000000,1.436363230647710
670.000000,1.435544214442930
680.000000,1.434727753158800
690.000000,1.433913321516930
700.000000,1.433100436313880
710.000000,1.432288652712740
720.000000,1.431477560911480
730.000000,1.430666783144830
740.000000,1.429855970981860
750.000000,1.429044802886380
760.000000,1.428232982011270
770.000000,1.427420234201240
780.000000,1.426606306182070
790.000000,1.425790963916270
800.000000,1.424973991108280
810.000000,1.424155187843550
820.000000,1.423334369348130
830.000000,1.422511364856650
840.000000,1.421686016578120
850.000000,1.420858178749810
860.000000,1.420027716770970
870.000000,1.419194506408730
880.000000,1.418358433069230
890.000000,1.417519391128330
900.000000,1.416677283316000
910.000000,1.415832020149770
920.000000,1.414983519412980
930.000000,1.414131705673460
940.000000,1.413276509839530
950.000000,1.412417868749750
960.000000,1.411555724793870
970.000000,1.410690025561980
980.000000,1.409820723519780
990.000000,1.408947775707630
1000.000000,1.408071143461640
1010.000000,1.407190792154620
1020.000000,1.406306690955850
1030.000000,1.405418812607650
1040.000000,1.404527133217750
1050.000000,1.403631632066050
1060.000000,1.402732291424880
1070.000000,1.401829096391450
1080.000000,1.400922034731760
1090.000000,1.400011096735020
1100.000000,1.399096275077920
1110.000000,1.398177564697830
1120.000000,1.397254962674490
1130.000000,1.396328468119370
1140.000000,1.395398082072380
1150.000000,1.394463807405150
1160.000000,1.393525648730590
1170.000000,1.392583612318390
1180.000000,1.391637706015760
1190.000000,1.390687939173070
1200.000000,1.389734322574730
1210.000000,1.388776868373630
1220.000000,1.387815590030400
1230.000000,1.386850502255980
1240.000000,1.385881620958080
1250.000000,1.384908963190750
1260.000000,1.383932547106990
1270.000000,1.382952391914640
1280.000000,1.381968517834590
1290.000000,1.380980946061690
1300.000000,1.379989698728140
1310.000000,1.378994798868930
1320.000000,1.377996270389520
1330.000000,1.376994138035450
1340.000000,1.375988427363770
1350.000000,1.374979164716130
1360.000000,1.373966377193700
1370.000000,1.372950092633430
1380.000000,1.371930339585800
1390.000000,1.370907147293920
1400.000000,1.369880545673920
1410.000000,1.368850565296450
1420.000000,1.367817237369440
1430.000000,1.366780593721660
1440.000000,1.365740666787650
1450.000000,1.364697489593190
1460.000000,1.363651095741760
1470.000000,1.362601519402080
1480.000000,1.361548795295970
1490.000000,1.360492958687300
1500.000000,1.359434045371530
1510.000000,1.358372091665600
1520.000000,1.357307134398970
1530.000000,1.356239210904770
1540.000000,1.355168359011510
1550.000000,1.354094617035540
1560.000000,1.353018023773810
1570.000000,1.351938618497030
1580.000000,1.350856440943150
1590.000000,1.349771531311600
1600.000000,1.348683930257390
